ID,Title,Main Author,Authors,Year,Study Link,Abstract,Health Category,Health Indicator,Sensor Position,Sensor Type,Physiological Signal,Advantage
129,Breathing Sound-based Exercise Intensity Monitoring via Smartphones,Y. Ren et al.,Y. Ren; Z. Zheng; H. Liu; Y. Chen; H. Li; C. Wang,2021,https://ieeexplore.ieee.org/document/9522176,"Exercise intensity monitoring of physical activities has drawn increasingly attention as the awareness of the exercise intensity is of great importance for a person to achieve optimal training outcomes. For example, over-training could lead to excessive fatigue and loss of motivation for exercise. Traditional exercise intensity monitoring systems utilize GPS data to track the user’s intensity of cardio activities through his/her position and speed. Such systems however become invalid for indoor exercises on stationary fitness equipments such as the treadmill or exercise bike. Recent work in using body-worn sensors to track the user’s heart rate for exercise intensity monitoring usually involves additional wearable sensors which are only available on some particular fitness equipments, and thus are hard to be used in all occasions. This work presents an exercise intensity monitoring system which is capable of detecting a person’s exercise intensity via smartphones. Our system exploits the off-the-shelf smartphone and its headphone to capture the user’s breathing sound. Given the captured acoustic data, our system performs data pre-processing to remove the environmental noise and identify the non-silent acoustic frames based on the signal energy. Our system then conducts breathing event detection for non-silent frames, and further calibrates the detection results by utilizing the high correlation between breathing cycles to improve the detection accuracy. Moreover, our system can estimate the person’s exercise intensity based on features extracted from the frames which contain breathing sound. Our experiments involving 9 subjects over four-month time period demonstrate that our proposed exercise intensity monitoring system is robust and accurate in both indoor and outdoor environments.",Cardio-Respiratory System,Breathing Sound,Ear Canal,Acoustic,Breathing Sound,Long Time Wearability
130,Non-Invasive Blood Pressure Monitoring with Multi-Modal In-Ear Sensing,"Truong, Hoang et al.","Truong, Hoang and Montanari, Alessandro and Kawsar, Fahim",2022,https://ieeexplore.ieee.org/document/9747661,"Continuous blood pressure monitoring is the key to mitigate significant risks for stroke, heart failure and coronary artery disease. Current gold-standard blood pressure devices cause discomfort and interfere with users’ activities. This paper explores an earable system, which continuously monitors users’ blood pressure from the ear. We propose a measurement technique based on the vascular transit time which utilises the time difference between the S1 heart sound and the PPG upstroke in one pulse cycle. We develop a multi-modal sensing hardware and processing pipeline and we evaluate it with 10 participants showing average errors in line with the range recommended by the Association for the Advancement of Medical Instrumentation: 4.07 mmHg for systolic and 5.61 mmHg for diastolic blood pressure.",Cardio-Respiratory System,Blood Pressure,Ear Canal,"Photo, Acoustic","Photoplethysmography (PPG), Heart sound","Non-invasive, Continuous"
131,Wireless Battery-Free Body Temperature Sensing Device for Key Workers,"Rigi, Amin et al.","Rigi, Amin and Mugisha, Andrew J. and Arefian, Ahmed and Khan, Sadeque Reza and Mitra, Srinjoy",2022,https://ieeexplore.ieee.org/document/9628053,"We propose a battery-free temperature monitoring device that can be fitted inside the ear for an accurate body temperature measurement of a subject. The proposed application consists of two primary systems: 1) a battery-free temperature sensing ultra-high-frequency radio frequency identification sensory tag and 2) an auxiliary energy harvesting system, which enhances the sensing device's measurement accuracy and precision. The system can record changes in the localized body temperature of authenticated users with an average latency of 501 ms. The assembly demonstrated a temperature average accuracy of ± 0.14 °C operating at 866 MHz. The system performance demonstrated high stability and repeatability of reported temperature measurements. The device's dimension is a form factor that can easily fit in a front shirt pocket, with a wire tethered earbud temperature sensor. The system is developed to make sensor measurements without requiring a battery for the device. Measurements are made remotely as users pass by checkpoints installed throughout a building. The device is a cost-effective solution for monitoring body temperature in work environments.",Thermal Regulation,Body Temperature,Ear Canal,Thermal,Body Temperature,"Non-invasive, Long Time Wearability, Continuous, Remote"
132,Self-applied ear-EEG for sleep monitoring at home,"Mikkelsen, Kaare B. et al.","Mikkelsen, Kaare B. and Tabar, Yousef R. and Toft, Hans O. and Hemmsen, Martin C. and Rank, Mike L. and Kidmose, Preben",2022,https://ieeexplore.ieee.org/document/9871076/,"High quality sleep monitoring is done using EEG electrodes placed on the skin. This has traditionally required assistance by an expert when the equipment needed to mounted. However, this creates a limitation in how cheap and easy it can be to record sleep in the subject's own home. Here we present a data set of 120 home recordings of sleep, in which subjects use self-applied ear-EEG monitoring equipment. We compare this data set to a previously recorded data set with both ear-EEG and polysomnography, which was applied by an expert. Clinical relevance — On all tested metrics, self applied sleep recordings behaved the same as expert applied. This indicates that ear-EEG can reliably be used as a home sleep monitor, even when subjects apply the equipment themselves.",Nervous System,"Brain Activity, Sleep","Around the ear, Ear Canal",Electrical,Electroencephalography (EEG),"Long Time Wearability, High Accuracy"
133,A Template Matching Based Cough Detection Algorithm Using IMU Data From Earbuds,"Lamichhane, Bishal et al.","Lamichhane, Bishal and Nemati, Ebrahim and Ahmed, Tousif and Rahman, Mahbubur and Kuang, Jilong and Gao, Alex",2022,https://ieeexplore.ieee.org/document/9926839,"Coughing is a common symptom across different clinical conditions and has gained further relevance in the past years due to the COVID-19 pandemic. An automated cough detection for continuous health monitoring could be developed using Earbud, a wearable sensor platform with audio and inertial measurement unit (IMU) sensors. Though several previous works have investigated audio-based automated cough detection, audio-based methods can be highly power-consuming for wearable sensor applications and raise privacy concerns. In this work, we develop IMU-based cough detection using a template matching-based algorithm. IMU provides a low-power privacy-preserving solution to complement audio-based algorithms. Similarly, template matching has low computational and memory needs, suitable for on-device implementations. The proposed method uses feature transformation of IMU signal and unsupervised representative template selection to improve upon our previous work. We obtained an AUC (AUC-ROC) of 0.85 and 0.83 for cough detection in a lab-based dataset with 45 participants and a controlled free-living dataset with 15 participants, respectively. These represent an AUC improvement of 0.08 and 0.10 compared to the previous work. Additionally, we conducted an uncontrolled free-living study with 7 participants where continuous measurements over a week were obtained from each participant. Our cough detection method achieved an AUC of 0.85 in the study, indicating that the proposed IMU-based cough detection translates well to the varied challenging scenarios present in free-living conditions.",Health Tracking,Cough,Ear Canal,Mechanical,IMU Signals,"High Accuracy, Energy-efficient"
134,Smart Biofeedback Earbud Achieved by SiP with 3D Composite Polymer Package,"Tseng, Kueihao et al.","Tseng, Kueihao and Lin, ChihLung and Wang, Kaihung and Chang, Harrison",2022,https://ieeexplore.ieee.org/document/9816547,"The world’s first smart in-ear bud packaged in polymer is presented in this paper. This in-ear bud is capable of detecting ECG (electrocardiography) signal, heart rate, as well as body temperature, from human ear canal. The bud is designed to be connected to a typical wireless ear-set, which transmits signal through Bluetooth. It is assembled with advanced packaging technologies, including SiP (system in package) module for system board miniaturization, flexible substrate for conforming to the 3D structure, and molding with composite polymer material by multiple injections for bio contact. The composite material is liquid in raw material form, yet elastic and solid after vulcanization. This material is heterogeneous integrated, such that it encapsulates the functional active and passive parts, allows the bio signals to be detected. The earbud conforms to the exterior ear canal, and is friendly to sensitive human skin.In this paper, this smart earbud is connected to a wearable Bluetooth docking box, and live demo is performed to transmit the detected biofeedback signal to an App on an android phone or PC. The user plugs this smart earbud into the left (heart side) ear canal and touching the metal electrode of BT docking by the left hand finger. Biofeedback signal of stable and repeatable PQRST wave, heart rate, and body temperature are detected and sent, and results are shown successfully. The test data of user trial is compared with another set of data from a leading consumer watch, tested by the same users. Very similar characteristics of the waveforms from the smart earbud, and those from the benchmark devise, are observed. It is expected that this innovative smart earbud can be integrated into similar consumer wearable electronics, which can provide real time, accurate, and convenient way of bio sign monitoring for the consumers.","Cardio-Respiratory System, Thermal Regulation","Body Temperature, Heart Rate",Ear Canal,"Electrical, Thermal","Beats Per Minute (BPM), Electrocardiogram (ECG), Body Temperature",Long Time Wearability
135,VitalPod: A Low Power In-Ear Vital Parameter Monitoring System,"Schilk, Philipp et al.","Schilk, Philipp and Dheman, Kanika and Magno, Michele",2022,https://ieeexplore.ieee.org/document/9941646,"Monitoring of physiological parameters support early detection, prevention, and management of adverse health-care related events. In-ear wearable sensor nodes that track changing bio-physiological signals can be advantageous over traditional monitoring methods in being compact, unobtrusive, and inconspicuous, increasing their appeal. However, in-ear ergonomics place rigid constraints on a device's physical design and size, limiting battery lifetime and restricting the incorporation of multiple sensor modules. This work presents the design and implementation of the wireless hearable VitalPod, an in-ear multi-vital sign monitor that measures heart rate (HR), respiratory rate (RR), blood oxygenation (SpO2), skin temperature and activity. The VitalPod is designed with low power and energy efficiency in mind, using novel sensing integrated circuits and processing modules that achieve operational longevity of up to 42 hours using a small form factor 32mAh rechargeable Liion polymer battery. It has a compact design and form factor, similar to many commercial wireless earbuds, featuring hardware required for wireless music playback using a standard balanced armature driver in addition to vital sign monitoring sensors. Experimental results show high performance in estimating vital signs for HR (-0.061± 1.12 beats per minute), RR (0.87±1.48 breaths per minute) and change in SpO2 (0.21±0.82 %). Additionally, the presented work also evaluates the positional placement of sensors in the ear to reduce the effect of motion induced artifacts.","Cardio-Respiratory System, Thermal Regulation","Body Temperature, Heart Rate, Blood Oxygen Saturation, Respiration Rate",Ear Canal,"Photo, Mechanical, Thermal, Acoustic","Photoplethysmography (PPG), Beats Per Minute (BPM), Body Temperature, Breath per minute (BRPM)",Energy-efficient
136,Detecting Physiological Responses Using Multimodal Earbud Sensors,"Rahman, Md Mahbubur et al.","Rahman, Md Mahbubur and Xu, Xuhai and Nathan, Viswam and Ahmed, Tousif and Ahmed, Mohsin Yusuf and McCaffrey, Dan and Kuang, Jilong and Cowell, Trevor and Moore, Julia and Mendes, Wendy Berry and Gao, Jun Alex",2022,https://ieeexplore.ieee.org/document/9871569,"Continuous stress exposure negatively impacts mental and physical well-being. Physiological arousal due to stress affects heartbeat frequency, changes breathing pattern and peripheral temperature, among several other bodily responses. Traditionally stress detection is performed by collecting signals such as electrocardiogram (ECG), respiration, and skin conductance response using uncomfortable sensors such as a chestband. In this study, we use earbuds that passively measure photoplethysmography (PPG), core body temperature, and inertial measurements. We have conducted a lab study exposing 18 participants to an evaluated speech task and additional tasks aimed at increasing stress or promoting relaxation. We simultaneously collected PPG, ECG, impedance cardiography (ICG), and blood pressure using laboratory grade equipment as reference measurements. We show that the earbud PPG sensor can reliably capture heart rate and heart rate variability. We further show that earbud signals can be used to classify the physiological responses associated with stress with 91.30% recall, 80.52% precision, and 85.12% F1-score using a random forest classifier with leave-one-subject-out cross-validation. The accuracy can further be improved through multi-modal sensing. These findings demonstrate the feasibility of using earbuds for passively monitoring users' physiological responses.","Cardio-Respiratory System, Thermal Regulation, Mental State","Stress, Body Temperature, Heart Rate",Ear Canal,"Photo, Mechanical, Thermal","Photoplethysmography (PPG), Body Temperature, IMU Signals",Long Time Wearability
137,BreatheBuddy: Tracking Real-time Breathing Exercises for Automated Biofeedback Using Commodity Earbuds,"Rahman, Md Mahbubur et al.","Rahman, Md Mahbubur and Ahmed, Tousif and Ahmed, Mohsin Yusuf and Dinh, Minh and Nemati, Ebrahim and Kuang, Jilong and Gao, Jun Alex",2022,https://doi.org/10.1145/3546748,"Breathing exercises reduce stress and improve overall mental well-being. There are various types of breathing exercises. Performing the exercises correctly may give the best outcome and doing it in wrong ways can sometimes have adverse effect. Providing real-time biofeedback can greatly improve the user experience in doing the right exercises in the right ways. In this paper, we present methods to passively track breathing biomarkers in real-time using wireless commodity earbuds and generate feedback on users' breathing performance. We use the earbud's low-power accelerometer to generate a comprehensive set of breathing biomarkers including breathing phase, breathing rate, depth of breathing, and breathing symmetry. We have conducted studies where the subjects performed different types of guided breathing exercises while wearing the earbuds. Our algorithms detect breathing phases with 90.91% F1-score and estimate breathing rate with 95.05% accuracy. We further show that our algorithms can be used to generate biofeedback towards designing engaging smartphone's user interactions that facilitate users to accurately perform various breathing exercises.",Cardio-Respiratory System,"Respiration Rate, Breathing phase, Respiration Marker",Ear Canal,Mechanical,"Inhale / Exhale phase, Breathing rate, Depth of breathing, Inhalation/Exhalation ratio",
138,Multiphysiological Shallow Neural Network-Based Mental Stress Detection System for Wearable Environment,"Sheeraz, Muhammad et al.","Sheeraz, Muhammad and Aslam, Abdul Rehman and Altaf, Muhammad Awais Bin",2022,https://ieeexplore.ieee.org/document/9937517,"Health problems related to stress are increasing globally and significantly affect the mental health and quality of life of human beings. Continuous suffering from stress may lead to serious psychological and physical health problems. But still, no effective and reliable stress detection methods are available. In this paper, a novel wearable device is presented to measure electroencephalogram (EEG) and electrocardiogram (ECG) simultaneously in a non-invasive approach. This system includes an analog front end (AFE) integrated with a machine learning-based digital backend (DBE) processor for mental stress prediction using only 3 electrodes. A PCB prototype is developed using the commercial off-the-shelf components. The developed prototype shows excellent noise performance of 0.1μVrms and predicts the mental stress with a classification accuracy of 92.7%. The proposed system is lightweight and easily wearable (behind the ear). The data is acquired from 25 participants for different stress scenarios including the Arithmetic Test and Stroop Color Word Test. Different EEG and ECG based features combinations are used for the classification of stress conditions using a shallow neural network (SNN) classifier.",Mental State,Stress,Behind the ear,Electrical,"Electroencephalography (EEG), Electrocardiogram (ECG)",Non-invasive
